"Länskod","Kommunkod","Nivå 1","Nivå 2","Nivå 3","Nivå 4","Totalt, andel svar, procent","Enskild","Offentlig","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","126","Stuvstagården","","","","40% - 60%","0","100","0","14","0","89","75","75","43","78","63","89","x","x","100","x","100","100","x","50","x","100","86","88","40","100","90"
"1","126","Stuvstagården","Demensboende","","","40% - 60%","0","100","0","14","0","89","75","75","43","78","63","89","x","x","100","x","100","100","x","50","x","100","86","88","40","100","90"
"1","126","Tallgården","","","","60% - 80%","0","100","38","60","7","84","79","76","68","82","72","77","52","71","95","83","98","79","79","77","56","85","57","86","45","93","90"
"1","126","Tallgården","Tallgården 1","","","60% - 80%","0","100","39","65","0","81","71","69","46","82","61","76","31","60","100","81","94","79","69","46","44","71","46","79","39","83","84"
"1","126","Tallgården","Tallgården 2","","","60% - 80%","0","100","33","59","14","85","86","86","80","81","80","76","63","77","91","84","100","77","88","95","64","94","63","91","52","100","95"
"1","126","Västergården","","","","40% - 60%","0","100","22","44","17","85","82","59","65","85","74","81","39","75","94","87","85","88","58","71","48","67","44","88","49","90","79"
"1","126","Västergården","Västergården 1","","","40% - 60%","0","100","29","50","29","83","93","77","71","100","79","75","38","80","93","92","92","92","67","77","75","62","36","92","57","91","79"
"1","126","Västergården","Västergården 1","Demensboende","","40% - 60%","0","100","31","54","31","83","92","77","69","100","85","82","43","89","92","91","92","92","67","75","73","58","40","92","62","91","77"
"1","126","Västergården","Västergården 2","","","40% - 60%","0","100","18","41","9","86","74","47","59","74","71","84","40","72","95","84","80","85","53","67","32","71","50","85","43","89","79"
"1","126","Västergården","Västergården 2","Demensboende","","40% - 60%","0","100","33","33","0","x","86","50","63","x","x","71","x","x","100","x","86","86","x","57","57","x","x","71","44","75","71"
"1","126","Västergården","Västergården 2","Ålderdomshem","","20% - 40%","0","100","8","46","15","75","67","45","56","62","67","92","40","85","92","92","77","85","44","73","17","78","50","92","42","100","83"
"1","126","Vårbacka Plaza Aleris","","","","20% - 40%","100","0","38","25","25","x","100","43","71","x","x","43","43","63","88","63","88","88","x","50","25","88","x","88","38","x","71"
"1","126","Ängsgården","","","","40% - 60%","0","100","31","31","36","92","85","36","69","92","82","77","25","43","100","71","71","100","58","77","9","91","63","75","21","91","85"
"1","126","Ängsgården","Demensboende","","","40% - 60%","0","100","31","31","36","92","85","36","69","92","82","77","25","43","100","71","71","100","58","77","9","91","63","75","21","91","85"
"1","127","Alby Äng","","","","40% - 60%","0","100","19","10","24","50","68","50","67","50","53","47","35","47","79","63","67","80","44","37","32","63","67","71","19","78","67"
"1","127","Alby Äng","Demens","","","40% - 60%","0","100","29","7","36","67","75","50","71","62","75","50","50","56","77","78","86","85","45","38","25","58","73","79","14","75","64"
"1","127","Alby Äng","Somatisk","","","40% - 60%","0","100","0","14","0","x","57","x","57","29","14","43","14","x","x","43","29","71","x","x","43","71","57","57","29","x","71"
"1","127","Allégården","","","","20% - 40%","0","100","33","38","25","82","73","64","58","80","57","73","46","62","87","67","87","69","30","31","33","91","38","86","38","92","71"
"1","127","Allégården","Somatisk","","","40% - 60%","0","100","20","36","9","75","73","70","67","82","60","82","50","78","91","75","91","73","43","40","45","86","x","100","36","100","80"
"1","127","Kärsdala","","","","40% - 60%","0","100","30","48","9","95","83","65","79","65","52","68","35","47","83","60","88","84","68","55","33","64","50","76","44","88","84"
"1","127","Kärsdala","Somatisk","","","60% - 80%","0","100","32","50","9","95","83","64","78","68","50","67","37","50","83","63","91","88","67","52","35","62","47","75","42","87","88"
"23","2380","Vardaga AB","Sjöängen","","","40% - 60%","100","0","36","45","0","100","50","10","50","80","70","73","25","38","100","89","100","100","50","22","20","90","80","91","40","100","82"
"1","127","Sandstugan","Demens","","","40% - 60%","100","0","14","x","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","43","71","x"
"1","127","Silverkronan","","","","40% - 60%","0","100","28","29","17","84","50","50","71","64","70","65","55","63","85","61","84","85","50","40","27","67","38","85","36","78","62"
"1","127","Silverkronan","Demens","","","40% - 60%","0","100","33","27","36","88","69","54","67","64","73","57","54","58","69","50","83","71","58","38","30","67","50","77","46","90","62"
"1","127","Silverkronan","Somatisk","","","60% - 80%","0","100","23","31","0","82","27","45","75","64","67","75","56","67","100","73","85","100","x","42","25","67","27","92","25","63","62"
"1","127","Tornet","","","","40% - 60%","0","100","10","20","10","53","42","25","65","70","68","47","21","27","95","71","47","53","19","28","16","41","18","70","35","69","45"
"1","127","Tornet","Demens","","","40% - 60%","0","100","14","29","14","42","29","21","64","71","57","46","11","22","93","67","46","62","10","25","15","45","18","71","43","67","50"
"1","127","Tumba","","","","40% - 60%","0","100","30","30","16","79","65","56","42","66","54","57","28","47","88","61","78","70","51","38","36","67","27","77","40","74","72"
"1","127","Tumba","Demens","","","40% - 60%","0","100","20","35","25","83","61","50","36","74","53","53","31","37","100","71","89","78","53","37","41","83","33","84","26","82","79"
"1","127","Tumba","Somatisk","","","40% - 60%","0","100","38","25","8","75","68","63","47","59","55","61","26","54","79","54","68","64","50","39","32","52","22","71","50","60","67"
"1","128","Rosstorp boende","","","","40% - 60%","100","0","23","45","14","83","77","76","76","64","59","62","59","44","91","70","81","86","67","53","33","75","53","77","48","86","77"
"1","128","Salarps äldreboende","","","","40% - 60%","0","100","25","43","6","80","63","69","79","71","76","71","25","43","94","93","100","76","86","47","23","75","46","59","50","92","88"
"1","128","Säbyhemmets äldreboende","","","","40% - 60%","0","100","43","38","14","79","77","79","50","92","64","85","64","73","93","90","93","93","55","64","25","80","71","85","38","93","79"
"1","136","Baldersro Plaza","","","","60% - 80%","100","0","17","33","0","100","69","71","43","59","53","61","50","50","94","80","89","94","50","53","31","53","31","71","47","85","72"
"1","136","Hagagården","","","","40% - 60%","0","100","39","37","19","94","94","56","81","75","79","86","40","53","97","81","92","89","71","58","24","83","33","86","38","87","86"
"1","136","Johanneslund","","","","40% - 60%","0","100","25","32","10","100","58","66","72","62","68","70","44","61","93","84","90","85","55","36","24","89","57","93","41","93","81"
"1","136","Johanneslund","Johanneslund A","","","40% - 60%","0","100","29","42","5","100","58","60","70","56","58","65","33","67","100","85","95","89","47","29","18","88","56","90","50","88","90"
"1","136","Johanneslund","Johanneslund B","","","40% - 60%","0","100","21","21","15","100","58","71","74","67","79","75","50","58","86","84","85","80","63","42","30","89","58","95","33","100","71"
"1","136","Lovisa Gården","","","","40% - 60%","100","0","13","47","40","82","75","93","82","100","100","100","63","70","100","92","100","92","82","75","64","83","69","100","53","100","100"
"1","136","Malmgården","","","","80% - 100%","0","100","24","31","13","85","73","80","79","73","71","67","33","87","100","81","88","65","50","50","25","88","60","88","50","91","81"
"1","136","Ros-Anders Gård","","","","40% - 60%","0","100","22","25","11","100","81","65","94","75","80","80","46","60","94","79","93","79","81","63","27","92","55","87","32","94","87"
"1","136","Vallagården","","","","20% - 40%","0","100","27","36","36","56","67","44","44","78","40","56","30","25","91","70","80","73","50","56","40","73","71","82","27","73","64"
"12","1283","Omsorg i Helsingborg","Jordbodalen","","","40% - 60%","0","100","27","39","22","63","61","57","67","64","56","71","40","58","90","73","85","77","59","50","33","78","47","81","39","81","83"
"1","138","Björkbackens äldrecentrum","","","","40% - 60%","0","100","15","30","6","100","69","55","65","50","50","55","39","45","89","74","86","78","35","42","35","76","45","75","38","72","72"
"1","138","Björkbackens äldrecentrum","Björkebo äldreboende","","","40% - 60%","0","100","9","25","5","100","65","50","59","33","50","50","45","45","90","78","84","68","26","37","37","79","39","82","30","69","65"
"1","138","Björkbackens äldrecentrum","Gruppb Näckrosen+Solrosen","","","40% - 60%","0","100","38","50","0","100","100","43","71","43","x","75","43","38","100","x","86","88","25","38","71","71","x","75","25","86","86"
"1","138","Björkbackens äldrecentrum","Kastanjen","","","40% - 60%","0","100","10","20","0","100","40","56","60","55","27","27","27","27","64","67","82","64","33","55","20","80","38","64","36","50","64"
"1","138","Björkbackens äldrecentrum","Syrenen","","","60% - 80%","0","100","17","33","17","100","82","73","80","82","71","80","38","x","100","80","92","100","60","42","20","67","43","73","62","88","83"
"1","138","Privat utförare","","","","40% - 60%","100","0","30","37","14","85","73","68","73","71","77","67","43","65","94","68","86","78","68","63","38","82","62","78","46","83","78"
"12","1283","Omsorg i Helsingborg","Pålsjö Park","","","60% - 80%","0","100","29","39","16","80","74","50","82","81","57","71","38","83","97","86","97","90","63","52","43","81","86","75","63","100","83"
"1","138","Privat utförare","Trollängens äldreboende","","","40% - 60%","100","0","38","45","13","89","72","63","54","60","73","58","41","60","86","59","89","68","71","54","32","71","41","74","38","70","72"
"1","138","Privat utförare","Ängsgården","","","40% - 60%","100","0","10","20","10","88","60","80","78","60","50","70","57","50","100","67","90","80","56","44","13","100","100","90","40","90","80"
"1","139","Bro","","","","60% - 80%","0","100","13","46","29","88","83","82","88","65","78","92","65","74","100","91","100","96","61","86","56","89","72","91","54","93","87"
"1","139","Bro","Allégården","","","60% - 80%","0","100","0","56","33","x","75","86","63","57","57","75","x","x","100","71","100","88","x","71","x","x","x","88","56","x","88"
"1","139","Bro","Norrgården","","","40% - 60%","0","100","20","40","27","86","88","80","100","69","88","100","57","79","100","100","100","100","69","93","75","92","83","93","53","90","87"
"1","139","Kungsängen","","","","40% - 60%","45","55","29","43","19","79","68","52","80","68","70","68","32","70","86","72","75","80","39","74","26","75","63","80","57","88","71"
"1","139","Kungsängen","Hagtorp","","","40% - 60%","100","0","30","30","20","75","50","50","89","75","67","38","22","44","80","50","70","70","13","78","30","71","x","70","40","88","56"
"1","139","Kungsängen","Kungsgården","","","40% - 60%","0","100","27","55","18","82","82","55","73","64","73","91","40","91","91","90","80","90","60","70","22","78","70","90","73","89","83"
"1","140","Lugnet","","","","40% - 60%","0","100","18","41","17","95","73","68","71","74","67","57","67","68","91","77","91","78","67","50","29","85","56","90","55","79","82"
"1","140","Lugnet","Vitsippan","","","40% - 60%","0","100","14","57","29","100","71","57","x","71","x","71","x","x","100","x","100","86","x","x","x","x","x","x","x","x","x"
"1","160","Boende i Täby","","","","40% - 60%","91","9","24","41","16","90","72","64","60","74","68","70","38","55","95","79","87","81","63","56","35","81","47","81","52","85","80"
"1","160","Boende i Täby","Allégården","","","60% - 80%","100","0","22","49","8","90","84","50","64","89","82","76","37","55","97","75","85","78","70","70","31","82","50","77","54","80","85"
"1","160","Boende i Täby","Allégården","Gruppboende","","40% - 60%","100","0","0","18","18","80","73","44","40","70","60","70","13","40","100","63","75","55","x","40","20","78","38","60","36","43","67"
"1","160","Boende i Täby","Allégården","Vårdboende","","60% - 80%","100","0","32","63","4","95","88","52","73","96","92","79","45","62","96","79","88","88","86","83","36","84","54","84","63","94","92"
"1","160","Boende i Täby","Attundagården","","","40% - 60%","100","0","30","48","10","90","55","52","50","52","52","48","26","33","89","56","72","61","59","33","23","58","30","59","33","78","55"
"1","160","Boende i Täby","Attundagården","Gruppboende","","20% - 40%","100","0","38","25","25","x","63","38","x","63","38","38","29","25","100","71","57","43","x","29","x","x","x","71","38","x","50"
"1","160","Boende i Täby","Attundagården","Vårdboende","","60% - 80%","100","0","27","57","5","88","52","58","47","48","59","53","25","37","86","50","77","67","59","35","20","57","33","55","32","86","57"
"1","125","Kullen","","","","40% - 60%","100","0","19","40","8","90","69","51","67","70","56","64","50","43","92","74","76","84","75","58","41","65","52","76","50","90","86"
"1","160","Boende i Täby","Enhagsslingan","","","60% - 80%","100","0","24","42","6","88","73","75","94","57","54","60","32","43","95","87","86","80","60","79","26","80","39","86","56","83","81"
"1","160","Boende i Täby","Enhagsslingan","Gruppboende","","60% - 80%","100","0","5","32","5","88","82","82","100","73","65","57","17","31","100","88","86","76","67","70","25","80","47","86","43","80","90"
"1","160","Boende i Täby","Enhagsslingan","Vårdboende","","60% - 80%","100","0","50","57","8","89","60","64","85","33","40","64","54","57","87","85","86","86","50","92","27","80","29","87","73","88","67"
"23","2380","Vardaga AB","Brunkullan","","","40% - 60%","100","0","38","50","22","88","78","67","22","78","67","89","57","57","100","88","89","89","63","44","22","89","63","78","25","x","78"
"3","380","Vardaga Äldreomsorg AB","Ferlin","","","40% - 60%","100","0","30","37","3","79","69","45","65","67","57","64","30","39","93","77","72","70","41","35","24","71","67","67","41","77","71"
"1","160","Boende i Täby","Lyktan","","","40% - 60%","100","0","10","40","10","70","88","60","25","70","80","90","x","78","100","86","100","90","67","40","60","100","67","100","50","75","90"
"1","160","Boende i Täby","Näsbyparks Parkinsonboende","","","40% - 60%","100","0","18","10","9","88","55","73","57","82","73","64","60","56","100","89","90","90","56","56","45","82","56","91","60","86","64"
"3","380","Vardaga Äldreomsorg AB","Granbommen","","","40% - 60%","100","0","31","40","7","62","60","40","80","67","47","56","45","64","94","93","93","100","42","56","14","93","80","86","44","92","87"
"1","160","Boende i Täby","Silverpark","Gruppboende","","40% - 60%","100","0","33","33","17","83","58","58","45","92","92","58","33","64","92","82","92","75","40","64","20","90","22","83","42","91","75"
"1","160","Boende i Täby","Tibblehemmet","","","60% - 80%","100","0","22","27","17","91","62","45","26","68","60","74","34","53","98","77","86","79","70","45","33","83","50","82","70","85","77"
"1","160","Boende i Täby","Tibblehemmet","Gruppboende","","60% - 80%","100","0","21","26","32","88","58","70","38","75","80","85","47","71","100","89","85","79","78","72","39","85","63","90","90","89","80"
"1","160","Boende i Täby","Tibblehemmet","Vårdboende","","60% - 80%","100","0","23","27","5","94","65","23","17","63","43","65","26","39","96","67","88","78","63","23","29","81","37","75","54","82","74"
"1","160","Boende i Täby","Ångaren","","","40% - 60%","0","100","27","60","8","96","70","63","74","46","50","71","39","48","88","65","81","83","35","36","43","74","44","70","36","79","83"
"1","160","Boende i Täby","Ångaren","Vårdboende","","60% - 80%","0","100","33","60","5","94","61","58","69","42","43","63","33","41","84","61","75","79","36","29","44","72","38","61","35","73","79"
"1","162","Annebergsgården","","","","60% - 80%","0","100","25","38","8","78","78","58","70","71","50","69","44","45","92","80","83","76","63","57","32","85","24","84","42","84","73"
"1","162","Annebergsgården","Eneby + Nora","","","80% - 100%","0","100","31","38","8","89","77","54","69","82","50","64","50","46","100","73","77","86","67","69","17","82","22","77","43","80","79"
"1","162","Annebergsgården","Mörby + Ösby","","","60% - 80%","0","100","18","36","9","67","80","64","70","60","50","75","40","44","83","89","91","64","57","40","50","89","25","92","42","89","67"
"1","162","Klingsta äldreboende","","","","40% - 60%","0","100","28","24","17","81","65","28","72","83","71","56","27","36","94","71","59","76","63","33","24","76","54","75","44","82","78"
"1","162","Mörbylund gruppboende","","","","60% - 80%","100","0","18","36","9","71","75","55","10","82","55","80","x","71","100","100","90","91","71","33","38","100","88","78","75","100","90"
"1","162","Odinslund äldreboende","","","","40% - 60%","100","0","14","24","10","100","80","65","50","67","79","79","50","56","95","82","84","84","67","44","29","84","41","90","59","82","79"
"1","162","Stocksundsgården","","","","60% - 80%","0","100","33","73","14","94","100","88","100","94","75","100","25","71","100","93","100","100","67","73","67","88","58","93","67","100","93"
"1","162","Stocksundsgården","Nedre plan A+C","","","40% - 60%","0","100","29","86","0","88","100","88","100","100","75","100","0","50","100","86","100","100","57","75","63","88","x","88","75","x","88"
"1","162","Stocksundsgården","Övre plan B+D","","","60% - 80%","0","100","38","63","29","100","100","88","100","88","75","100","x","x","100","100","100","100","75","71","71","88","x","100","57","x","100"
"1","162","Storkalmars gruppboende","","","","40% - 60%","0","100","x","x","x","100","100","86","71","100","100","86","x","x","100","x","100","100","71","57","x","x","x","86","100","x","100"
"1","162","Svalnäs äldreboende","","","","60% - 80%","100","0","33","46","13","96","73","60","100","46","71","81","57","70","96","76","100","100","83","60","35","80","32","88","50","100","85"
"1","162","Tallgården/Lärkträdet äb","","","","40% - 60%","100","0","28","40","12","80","72","47","61","68","44","68","39","58","98","73","79","86","66","41","27","79","53","83","35","84","85"
