"Länskod","Kommunkod","Nivå 1","Nivå 2","Nivå 3","Nivå 4","","Offentlig","Enskild","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","128","Rosstorp boende","","","","40% - 60%","0","100","38","65","24","94","89","86","80","85","65","76","53","53","90","78","90","85","74","79","47","90","67","90","62","94","85"
"1","128","Rosstorp boende","Ext Stockholm","","","40% - 60%","0","100","22","63","11","88","86","89","88","88","63","89","57","71","89","88","88","88","75","86","50","88","63","88","56","86","88"
"1","128","Salarps äldreboende","","","","60% - 80%","100","0","30","32","0","67","71","61","71","73","50","48","41","43","78","53","77","77","48","62","42","86","68","74","50","87","68"
"1","128","Salarps äldreboende","hus 3","","","80% - 100%","100","0","29","29","0","x","x","57","86","100","57","29","57","14","71","x","57","57","x","x","29","71","57","86","57","x","71"
"1","128","Skönviksgården äldreboende","","","","40% - 60%","100","0","14","43","0","100","86","71","100","86","57","71","x","x","x","x","x","100","57","100","x","100","86","x","71","x","100"
"1","128","Säbyhemmets äldreboende","","","","40% - 60%","100","0","21","43","7","92","85","69","75","83","67","69","56","45","100","70","86","86","50","50","9","79","46","85","50","91","79"
"1","128","Säbyhemmets äldreboende","Skutan","","","80% - 100%","100","0","29","57","14","x","71","71","x","86","57","x","x","x","100","x","86","86","57","71","14","71","57","86","57","x","71"
"1","136","Baldersro Plaza","","","","60% - 80%","0","100","20","25","10","87","80","60","26","71","74","63","24","28","81","70","71","79","47","39","22","80","47","70","25","81","70"
"1","136","Hagagården","","","","40% - 60%","100","0","44","42","22","85","87","62","79","81","74","78","59","73","97","86","97","94","82","54","25","96","46","97","55","95","97"
"1","136","Johanneslund","","","","40% - 60%","100","0","24","33","11","100","55","64","56","62","61","57","33","44","89","67","82","82","61","26","28","88","50","73","17","79","76"
"1","136","Johanneslund","Johanneslund A","","","40% - 60%","100","0","18","29","9","100","57","55","58","71","57","45","29","39","82","63","81","73","53","18","25","80","33","64","14","68","67"
"1","136","Johanneslund","Johanneslund B","","","60% - 80%","100","0","29","38","13","100","53","73","55","54","65","68","37","50","96","70","83","91","67","33","30","95","69","82","21","93","86"
"1","136","Lovisa Gården","","","","40% - 60%","0","100","36","29","29","92","71","93","36","86","93","100","70","69","100","85","93","93","77","31","50","92","85","86","71","100","93"
"1","136","Malmgården","","","","60% - 80%","100","0","17","33","6","94","82","82","93","61","78","83","57","59","94","88","89","88","65","39","22","71","53","71","33","91","83"
"1","136","Ros Anders Gård","","","","40% - 60%","100","0","32","44","16","92","88","67","94","81","76","76","50","44","100","100","94","94","53","67","40","93","58","100","68","100","100"
"1","136","Vallagården","","","","40% - 60%","100","0","8","25","8","71","58","42","50","58","50","62","23","20","100","64","77","69","40","38","27","46","42","77","31","77","58"
"1","136","Vendelsögården","","","","60% - 80%","0","100","23","43","13","82","79","72","48","72","71","78","43","73","93","87","97","93","86","55","41","86","52","93","61","95","86"
"1","138","Björkbackens äldrecentrum","","","","40% - 60%","100","0","21","41","10","100","73","51","59","66","63","55","31","49","98","64","90","85","41","41","31","73","46","78","35","73","76"
"1","138","Björkbackens äldrecentrum","Björkebo äldreboende","","","40% - 60%","100","0","20","33","7","100","80","53","50","47","67","50","38","67","100","69","93","93","33","43","20","71","36","79","31","50","79"
"1","138","Björkbackens äldrecentrum","Gruppboendena Näckrosen och Sol","","","20% - 40%","100","0","43","86","29","x","86","x","57","x","x","71","x","x","100","x","x","86","57","x","x","86","x","x","29","x","x"
"1","138","Björkbackens äldrecentrum","Kastanjen","","","40% - 60%","100","0","30","50","10","x","67","40","40","70","63","40","33","40","90","44","90","67","57","60","30","60","25","70","50","75","60"
"1","138","Björkbackens äldrecentrum","Syrenen","","","40% - 60%","100","0","0","11","0","100","60","50","100","90","67","64","29","25","100","63","80","90","25","22","13","80","60","82","30","90","73"
"1","138","Privat utförare","","","","40% - 60%","0","100","29","38","8","84","75","65","63","80","73","71","55","43","93","78","89","82","67","51","24","79","52","81","47","81","82"
"1","138","Privat utförare","Krusmyntans äldreboende","","","40% - 60%","0","100","20","40","0","74","78","78","75","85","80","78","53","37","91","83","86","87","76","46","25","75","58","86","52","90","78"
"1","138","Privat utförare","Trollängens äldreboende","","","40% - 60%","0","100","28","33","16","100","67","63","57","68","58","68","53","45","92","65","88","75","60","46","30","75","42","80","36","68","80"
"1","138","Privat utförare","Ängsgården","","","40% - 60%","0","100","56","44","11","71","88","38","x","100","100","63","x","x","100","100","100","88","x","86","0","100","x","75","71","89","100"
"1","139","Bro","","","","60% - 80%","100","0","24","39","20","87","78","75","62","67","62","74","69","54","98","82","84","88","56","64","32","77","65","83","37","83","86"
"1","139","Bro","Allégården","","","60% - 80%","100","0","11","44","33","x","x","x","50","75","x","75","75","50","100","75","88","88","x","63","x","100","71","100","50","x","88"
"1","139","Bro","Bro servicehus","","","60% - 80%","100","0","18","18","9","89","91","43","33","20","25","64","70","50","100","89","100","78","73","73","20","73","50","70","25","x","90"
"1","139","Bro","Norrgården","","","60% - 80%","100","0","32","46","21","82","70","83","77","84","71","79","67","57","96","82","76","92","50","60","39","71","68","83","36","82","84"
"1","139","Kungsängen","","","","40% - 60%","69","31","23","39","10","97","74","51","69","65","58","68","41","57","92","69","82","84","61","81","26","83","69","79","45","92","82"
"1","139","Kungsängen","Hagtorp","","","40% - 60%","0","100","42","36","8","90","67","58","83","80","73","75","40","64","100","73","73","83","80","91","27","70","75","92","42","89","73"
