"Läns-kod","Kommun-kod","Enhet, nivå 1","","","","","place holder1","place holder 2","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","127","Alby Äng","","","","40-60","0","0","6","28","22","53","50","56","75","50","44","47","38","47","83","59","89","67","27","40","35","71","44","73","44","70","63"
"1","127","Allégården","","","","40-60","0","0","20","36","9","86","65","55","78","57","57","64","50","48","100","85","86","91","50","70","23","91","68","86","42","94","82"
"1","127","Kärsdala","","","","40-60","0","0","21","24","7","84","68","54","77","62","52","63","25","50","90","72","71","74","27","63","18","59","14","74","43","81","71"
"1","127","Silverkronan","","","","40-60","0","0","27","41","14","91","68","68","68","86","82","81","73","68","100","89","95","90","67","75","22","68","45","86","43","88","86"
"1","127","Tumba äldreboende","","","","40-60","0","0","30","38","17","81","76","80","44","60","63","71","45","63","91","80","85","84","52","57","39","80","53","85","40","84","84"
"1","127","Tumba äldreboende","Tumba äldrebo. 1 o Ekdala","","","40-60","0","0","33","25","25","70","83","100","50","75","80","55","40","80","100","100","92","91","56","55","55","100","63","82","55","82","82"
"1","127","Tumba äldreboende","Tumba äldreboende 2","","","60-80","0","0","42","50","25","89","92","82","27","64","70","83","50","70","100","73","92","85","67","64","62","62","54","85","46","x","83"
"1","127","Tumba äldreboende","Tumba äldreboende 4","","","40-60","0","0","0","30","10","x","60","70","50","60","44","89","x","44","90","75","80","86","x","60","10","71","x","80","10","86","89"
"1","127","Tumba äldreboende","Tumba äldreboende 5","","","60-80","0","0","44","56","11","88","78","75","x","56","67","78","67","67","89","89","100","89","50","63","29","88","71","100","56","x","100"
"1","128","Rosstorp boende","","","","40-60","0","0","43","20","10","88","75","85","75","95","85","71","53","61","86","58","81","81","80","80","28","83","69","84","26","69","80"
"1","128","Rosstorp boende","Ext Sthlm Rosstorp boende","","","40-60","0","0","58","25","8","100","75","83","83","100","92","83","63","64","83","64","92","92","83","82","27","90","67","80","20","88","83"
"1","128","Salarps äldreboende","","","","60-80","0","0","25","45","5","86","55","44","68","60","55","60","28","35","80","61","89","75","53","65","45","89","56","80","47","86","79"
"1","128","Salarps äldreboende","Salarps äldreboende hus 1","","","80-100","0","0","14","43","14","x","43","x","x","29","29","57","x","43","71","57","x","86","x","x","29","100","71","71","x","x","x"
"1","128","Salarps äldreboende","Salarps äldreboende hus 3","","","80-100","0","0","43","43","0","x","57","x","100","86","71","43","0","29","71","x","100","71","x","x","57","100","57","86","86","x","86"
"1","128","Skönviksgården äldreboende","","","","40-60","0","0","29","43","0","x","71","71","x","71","71","86","57","57","86","86","86","86","43","71","57","86","14","86","57","x","86"
"1","128","Säbyhemmets äldreboende","","","","40-60","0","0","11","42","5","91","94","71","71","88","86","69","54","43","89","93","94","100","80","47","38","80","60","88","44","100","100"
"1","136","Baldersro Plaza","","","","60-80","0","0","42","39","26","87","76","74","59","74","72","67","44","71","100","94","83","89","63","44","44","89","59","95","39","86","88"
"1","136","Hagagården","","","","60-80","0","0","45","48","21","96","89","63","78","72","65","74","48","60","93","81","93","89","60","48","44","83","48","81","44","95","92"
"1","136","Johanneslund","","","","40-60","0","0","23","26","5","94","65","56","45","50","52","60","30","47","95","67","81","68","46","21","25","59","50","81","23","79","67"
"1","136","Lovisa Gården","","","","20-40","0","0","11","67","33","86","78","100","50","100","78","78","71","100","100","86","89","89","63","67","63","88","x","100","78","100","89"
"1","136","Malmgården","","","","60-80","0","0","36","36","14","92","83","69","92","93","77","71","23","62","100","93","93","79","38","71","29","71","47","80","47","83","87"
"1","136","Ros Anders Gård","","","","40-60","0","0","15","50","5","75","78","61","88","58","71","74","38","56","95","79","88","94","53","59","50","88","50","95","47","94","72"
"1","136","Vallagården","","","","40-60","0","0","14","14","0","92","77","77","75","69","58","71","40","45","85","58","79","83","45","58","17","83","80","79","50","64","86"
"1","136","Vendelsögården","","","","60-80","0","0","24","29","18","92","75","69","44","94","69","75","29","64","94","77","81","81","56","44","21","94","31","88","47","77","73"
"1","138","Björkbackens äldrecentrum","","","","40-60","0","0","37","40","2","93","67","75","69","72","63","74","49","46","98","82","87","89","59","53","40","81","51","86","51","84","84"
